#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD60AA
#Date Time: 2021-05-31 17:57:35.951
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 10 V Attenuation: 10 X
#Channel 2: Range: 5 V/div Offset: -15 V Attenuation: 10 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.0255984375,-5.712991238489265,11.98569567857388
-0.0255921875,-5.723064593309313,11.98569567857388
-0.0255859375,-5.736495733069362,11.98569567857388
-0.0255796875,-5.746569087889403,11.98906995270382
-0.0255734375,-5.756642442709444,11.98569567857388
-0.0255671875,-5.773431367409513,11.98906995270382
-0.0255609375,-5.783504722229559,11.98906995270382
-0.0255546875,-5.793578077049595,11.98906995270382
-0.0255484375,-5.807009216809651,11.98906995270382
-0.0255421875,-5.82379814150972,11.98906995270382
-0.0255359375,-5.830513711389747,11.99244422683376
-0.0255296875,-5.843944851149804,11.98906995270382
-0.0255234375,-5.850660421029829,11.99244422683376
-0.0255171875,-5.864091560789885,11.98906995270382
-0.0255109375,-5.874164915609926,11.99244422683376
-0.0255046875,-5.894311625250008,11.98906995270382
-0.0254984375,-5.904384980070054,11.99244422683376
-0.0254921875,-5.914458334890091,11.99244422683376
-0.0254859375,-5.927889474650146,11.9958185009637
-0.0254796875,-5.941320614410201,11.99244422683376
-0.0254734375,-5.951393969230242,11.9958185009637
-0.0254671875,-5.96146732405029,11.99244422683377
-0.0254609375,-5.974898463810338,11.99919277509365
-0.0254546875,-5.988329603570394,11.99244422683376
-0.0254484375,-6.001760743330449,11.9958185009637
-0.0254421875,-6.01183409815049,11.99919277509365
-0.0254359375,-6.025265237910549,11.99919277509364
-0.0254296875,-6.035338592730586,11.9958185009637
-0.0254234375,-6.045411947550628,11.9958185009637
-0.0254171875,-6.058843087310683,12.00256704922359
-0.0254109375,-6.068916442130724,11.99919277509365
-0.0254046875,-6.085705366830797,11.99919277509365
-0.0253984375,-6.095778721650834,12.00256704922359
-0.0253921875,-6.109209861410889,11.99919277509365
-0.0253859375,-6.115925431290917,11.9958185009637
-0.0253796875,-6.129356571050971,11.99919277509365
-0.0253734375,-6.14278771081102,12.00256704922358
-0.0253671875,-6.152861065631068,11.99919277509365
-0.0253609375,-6.166292205391123,12.00256704922359
-0.0253546875,-6.176365560211163,12.00256704922359
-0.0253484375,-6.189796699971219,12.00256704922359
-0.0253421875,-6.203227839731268,12.00256704922359
-0.0253359375,-6.213301194551315,12.00256704922359
-0.0253296875,-6.223374549371357,12.00594132335353
-0.0253234375,-6.236805689131412,12.00594132335353
-0.0253171875,-6.250236828891467,12.00594132335353
-0.0253109375,-6.263667968651515,12.00594132335353
-0.0253046875,-6.273741323471564,12.00931559748347
-0.0252984375,-6.280456893351591,12.00256704922359
-0.0252921875,-6.297245818051659,12.00594132335353
-0.0252859375,-6.310676957811714,12.00931559748347
-0.0252796875,-6.320750312631751,12.00931559748347
-0.0252734375,-6.330823667451797,12.00594132335353
-0.0252671875,-6.347612592151865,12.00594132335353
-0.0252609375,-6.357685946971907,12.00594132335353
-0.0252546875,-6.371117086731962,12.00931559748347
-0.0252484375,-6.384548226492011,12.00931559748347
-0.0252421875,-6.394621581312059,12.01268987161341
-0.0252359375,-6.408052721072114,12.01606414574335
-0.0252296875,-6.418126075892154,12.00931559748347
-0.0252234375,-6.43155721565221,12.01268987161341
-0.0252171875,-6.441630570472246,12.00931559748347
-0.0252109375,-6.455061710232306,12.01606414574335
-0.0252046875,-6.465135065052348,12.00931559748347
-0.0251984375,-6.478566204812402,12.01606414574335
-0.0251921875,-6.488639559632444,12.01268987161341
-0.0251859375,-6.505428484332504,12.01268987161341
-0.0251796875,-6.51214405421254,12.00931559748347
-0.0251734375,-6.525575193972594,12.01606414574335
-0.0251671875,-6.539006333732649,12.01606414574335
-0.0251609375,-6.549079688552691,12.01268987161341
-0.0251546875,-6.56251082831274,12.01606414574335
-0.0251484375,-6.572584183132787,12.01268987161341
-0.0251421875,-6.586015322892843,12.01606414574335
-0.0251359375,-6.596088677712883,12.00931559748347
-0.0251296875,-6.606162032532925,12.01606414574335
-0.0251234375,-6.616235387352962,12.01606414574335
-0.0251171875,-6.636382096993048,12.01943841987329
-0.0251109375,-6.64645545181309,12.01606414574335
-0.0251046875,-6.659886591573144,12.01943841987329
-0.0250984375,-6.666602161453172,12.01943841987329
-0.0250921875,-6.680033301213221,12.01606414574335
-0.0250859375,-6.686748871093255,12.01606414574335
-0.0250796875,-6.703537795793324,12.01943841987329
-0.0250734375,-6.716968935553378,12.02618696813317
-0.0250671875,-6.730400075313433,12.01606414574335
-0.0250609375,-6.743831215073483,12.01943841987329
-0.0250546875,-6.750546784953516,12.02281269400323
-0.0250484375,-6.767335709653585,12.02281269400323
-0.0250421875,-6.777409064473627,12.01943841987329
-0.0250359375,-6.790840204233682,12.02281269400323
-0.0250296875,-6.800913559053723,12.02618696813317
-0.0250234375,-6.814344698813778,12.01943841987329
-0.0250171875,-6.824418053633819,12.02281269400323
-0.0250109375,-6.837849193393874,12.02281269400323
-0.0250046875,-6.847922548213916,12.02618696813317
-0.0249984375,-6.86135368797397,12.02281269400323
-0.0249921875,-6.871427042794012,12.02618696813317
-0.0249859375,-6.884858182554066,12.02618696813317
-0.0249796875,-6.898289322314122,12.02956124226311
-0.0249734375,-6.90500489219415,12.02618696813317
-0.0249671875,-6.918436031954204,12.02956124226311
-0.0249609375,-6.928509386774246,12.02956124226311
-0.0249546875,-6.9419405265343,12.02618696813317
-0.0249484375,-6.955371666294356,12.02618696813317
-0.0249421875,-6.968802806054411,12.02956124226311
-0.0249359375,-6.975518375934438,12.02618696813317
-0.0249296875,-6.99230730063451,12.02281269400324
-0.0249234375,-6.999022870514534,12.02956124226311
-0.0249171875,-6.999022870514534,12.02956124226311
-0.0249109375,-6.988949515694493,12.02956124226311
-0.0249046875,-6.982233945814466,12.02618696813317
-0.0248984375,-6.962087236174379,12.02956124226311
-0.0248921875,-6.952013881354342,12.02956124226311
-0.0248859375,-6.9419405265343,12.02618696813317
-0.0248796875,-6.928509386774246,12.02618696813317
-0.0248734375,-6.918436031954204,12.02956124226311
-0.0248671875,-6.908362677134158,12.02618696813317
-0.0248609375,-6.898289322314122,12.02618696813317
-0.0248546875,-6.881500397614053,12.02281269400323
-0.0248484375,-6.871427042794012,12.02956124226311
-0.0248421875,-6.857995903033957,12.02281269400323
-0.0248359375,-6.847922548213911,12.02281269400323
-0.0248296875,-6.837849193393874,12.02281269400323
-0.0248234375,-6.831133623513846,12.02618696813317
-0.0248171875,-6.814344698813778,12.02281269400323
-0.0248109375,-6.800913559053723,12.01943841987329
-0.0248046875,-6.787482419293663,12.02618696813317
-0.0247984375,-6.777409064473627,12.02281269400323
-0.0247921875,-6.767335709653585,12.02618696813317
-0.0247859375,-6.75390456989353,12.01943841987329
-0.0247796875,-6.743831215073489,12.02618696813317
-0.0247734375,-6.730400075313427,12.01943841987329
-0.0247671875,-6.716968935553378,12.02281269400323
-0.0247609375,-6.703537795793324,12.02281269400323
-0.0247546875,-6.696822225913296,12.01943841987329
-0.0247484375,-6.683391086153241,12.02281269400323
-0.0247421875,-6.673317731333192,12.01606414574335
-0.0247359375,-6.656528806633132,12.02281269400323
-0.0247296875,-6.64645545181309,12.01943841987329
-0.0247234375,-6.636382096993048,12.02281269400323
-0.0247171875,-6.622950957232994,12.01606414574335
-0.0247109375,-6.612877602412946,12.02281269400323
-0.0247046875,-6.599446462652898,12.01606414574335
-0.0246984375,-6.586015322892843,12.01943841987329
-0.0246921875,-6.575941968072801,12.01606414574335
-0.0246859375,-6.562510828312746,12.02281269400323
-0.0246796875,-6.549079688552685,12.01943841987329
-0.0246734375,-6.535648548792636,12.01606414574335
-0.0246671875,-6.522217409032582,12.01606414574335
-0.0246609375,-6.51214405421254,12.01943841987329
-0.0246546875,-6.498712914452485,12.01268987161341
-0.0246484375,-6.491997344572451,12.01943841987329
-0.0246421875,-6.478566204812402,12.01606414574335
-0.0246359375,-6.465135065052348,12.01606414574335
-0.0246296875,-6.455061710232306,12.01268987161341
-0.0246234375,-6.444988355412264,12.01268987161341
-0.0246171875,-6.428199430712191,12.01606414574335
-0.0246109375,-6.418126075892154,12.00931559748347
-0.0246046875,-6.408052721072114,12.01268987161341
-0.0245984375,-6.394621581312059,12.01268987161341
-0.0245921875,-6.381190441552003,12.01268987161341
-0.0245859375,-6.371117086731966,12.00931559748347
-0.0245796875,-6.357685946971907,12.01268987161341
-0.0245734375,-6.344254807211852,12.01268987161341
-0.0245671875,-6.337539237331825,12.01268987161341
-0.0245609375,-6.320750312631755,12.00931559748347
-0.0245546875,-6.310676957811719,12.01268987161341
-0.0245484375,-6.297245818051659,12.01268987161341
-0.0245421875,-6.290530248171631,12.00931559748347
-0.0245359375,-6.273741323471564,12.00931559748347
-0.0245296875,-6.260310183711508,12.00931559748347
-0.0245234375,-6.250236828891471,12.01268987161341
-0.0245171875,-6.240163474071426,12.00256704922359
-0.0245109375,-6.230090119251384,12.00931559748347
-0.0245046875,-6.213301194551315,12.00594132335353
-0.0244984375,-6.203227839731274,12.00594132335353
-0.0244921875,-6.193154484911237,12.00256704922359
-0.0244859375,-6.179723345151178,12.00256704922359
-0.0244796875,-6.166292205391123,12.00256704922359
-0.0244734375,-6.156218850571081,11.99919277509365
-0.0244671875,-6.142787710811026,12.00256704922359
-0.0244609375,-6.13271435599099,12.00256704922359
-0.0244546875,-6.11928321623093,12.00594132335353
-0.0244484375,-6.105852076470875,12.00256704922359
-0.0244421875,-6.095778721650834,12.00594132335353
-0.0244359375,-6.082347581890779,12.00594132335353
-0.0244296875,-6.06891644213073,12.00256704922359
-0.0244234375,-6.058843087310683,11.99919277509365
-0.0244171875,-6.048769732490641,12.00256704922359
-0.0244109375,-6.0386963776706,12.00256704922359
-0.0244046875,-6.021907452970531,11.9958185009637
-0.0243984375,-6.011834098150494,11.99919277509364
-0.0243921875,-5.998402958390435,12.00256704922359
-0.0243859375,-5.988329603570394,12.00256704922359
-0.0243796875,-5.971540678870324,11.9958185009637
-0.0243734375,-5.964825108990297,12.00256704922359
-0.0243671875,-5.948036184290237,11.99919277509365
-0.0243609375,-5.941320614410201,11.99919277509365
-0.0243546875,-5.927889474650146,11.9958185009637
-0.0243484375,-5.914458334890091,11.9958185009637
-0.0243421875,-5.901027195130036,11.99919277509365
-0.0243359375,-5.890953840309999,11.99581850096371
-0.0243296875,-5.880880485489953,11.99244422683376
-0.0243234375,-5.867449345729899,11.99919277509365
-0.0243171875,-5.857375990909857,11.9958185009637
-0.0243109375,-5.843944851149802,11.99244422683376
-0.0243046875,-5.830513711389753,11.99244422683376
-0.0242984375,-5.820440356569706,11.99919277509365
-0.0242921875,-5.807009216809651,11.99244422683376
-0.0242859375,-5.79693586198961,11.99244422683376
